
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
150,Jarius Wright,MIN,25,16,7,0,0,0,0,0,5,71,14.20,0,62,42,588,14.00,2,WR,78,,59,
151,Dwayne Bowe,KAN,30,15,15,0,0,0,0,0,0,0,,0,95,60,754,12.57,0,WR,77,,60,
152,Nate Washington,TEN,31,16,11,0,0,0,0,0,0,0,,0,72,40,647,16.18,2,WR,77,,61,
153,Owen Daniels,BAL,32,15,13,0,0,0,0,0,0,0,,0,79,48,527,10.98,4,TE,77,,17,
154,Jermaine Gresham,CIN,26,15,15,0,0,0,0,0,0,0,,0,79,62,460,7.42,5,TE,76,,18,
155,Mychal Rivera,OAK,24,16,10,0,0,0,0,0,0,0,,0,99,58,534,9.21,4,TE,75,,19,
156,Riley Cooper,PHI,27,16,16,0,0,0,0,0,0,0,,0,95,55,577,10.49,3,WR,74,,62,
157,Zach Mettenberger,TEN,23,7,6,107,179,1412,8,7,5,4,0.80,0,0,0,0,,0,QB,71,,38,
158,Harry Douglas,ATL,30,12,6,0,0,0,0,0,0,0,,0,74,51,556,10.90,2,WR,70,,63,
159,Miles Austin,CLE,30,12,11,0,0,0,0,0,0,0,,0,73,47,568,12.09,2,WR,69,,65,
160,Allen Robinson,JAX,21,10,8,0,0,0,0,0,0,0,,0,81,48,548,11.42,2,WR,69,,64,
161,Scott Chandler,BUF,29,16,5,0,0,0,0,0,0,0,,0,70,47,497,10.57,3,TE,68,,20,
162,Doug Martin,TAM,25,11,11,0,0,0,0,0,134,494,3.69,2,20,13,64,4.92,0,RB,68,,39,
163,Justin Hunter,TEN,23,12,8,0,0,0,0,0,0,0,,0,67,28,498,17.79,3,WR,68,,66,
164,Reggie Bush,DET,29,11,9,0,0,0,0,0,76,297,3.91,2,56,40,253,6.33,0,RB,67,,42,
165,Jerick McKinnon,MIN,22,11,6,0,0,0,0,0,113,538,4.76,0,41,27,135,5.00,0,RB,67,,40,
166,Ben Tate,2TM,26,11,6,0,0,0,0,0,119,371,3.12,4,12,9,60,6.67,0,RB,67,,41,
167,Cecil Shorts,JAX,27,13,12,2,2,32,1,0,0,0,,0,110,53,557,10.51,1,WR,67,,67,
168,Jerricho Cotchery,CAR,32,15,13,0,0,0,0,0,0,0,,0,78,48,580,12.08,1,WR,66,,68,
169,Hakeem Nicks,IND,26,16,6,0,0,0,0,0,0,0,,0,68,38,405,10.66,4,WR,65,,69,
170,Antone Smith,ATL,29,10,0,0,0,0,0,0,23,144,6.26,2,15,13,222,17.08,3,RB,65,,43,
171,Jake Locker,TEN,26,7,5,86,146,993,5,7,22,142,6.45,1,0,0,0,,0,QB,64,,39,
172,Jermaine Kearse,SEA,24,15,14,1,1,17,0,0,2,15,7.50,0,69,38,537,14.13,1,WR,64,,70,
173,Colt McCoy,WAS,27,5,4,91,128,1057,4,3,16,66,4.13,1,0,0,0,,0,QB,63,,40,
174,Davante Adams,GNB,22,16,11,0,0,0,0,0,0,0,,0,66,38,446,11.74,3,WR,63,,71,
175,Steve Johnson,SFO,28,13,1,0,0,0,0,0,0,0,,0,50,35,435,12.43,3,WR,62,,72,
176,Toby Gerhart,JAX,27,14,7,0,0,0,0,0,101,326,3.23,2,24,20,186,9.30,0,RB,61,,44,
177,Charles Johnson,MIN,25,12,6,0,0,0,0,0,1,-11,-11.00,0,59,31,475,15.32,2,WR,60,,73,
178,Cordarrelle Patterson,MIN,23,16,7,0,0,0,0,0,10,117,11.70,1,67,33,384,11.64,1,WR,60,,74,
179,Jeremy Kerley,NYJ,26,16,7,0,1,0,0,0,4,86,21.50,0,75,38,409,10.76,1,WR,60,,75,
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
180,Anthony Dixon,BUF,27,16,0,0,0,0,0,0,105,432,4.11,2,9,8,49,6.13,0,RB,60,,45,
181,Brian Hartline,MIA,28,16,16,0,0,0,0,0,0,0,,0,63,39,474,12.15,2,WR,59,,76,
182,Tavon Austin,STL,23,15,8,0,0,0,0,0,36,224,6.22,2,44,31,242,7.81,0,WR,59,,77,
183,James Starks,GNB,28,16,0,0,0,0,0,0,85,333,3.92,2,29,18,140,7.78,0,RB,59,,46,
184,Ryan Mathews,SDG,27,8,7,0,0,0,0,0,74,330,4.46,3,10,9,69,7.67,0,RB,58,,47,
185,Wes Welker,DEN,33,14,8,0,0,0,0,0,0,0,,0,64,49,464,9.47,2,WR,58,,78,
186,Brian Quick,STL,25,7,7,0,0,0,0,0,0,0,,0,39,25,375,15.00,3,WR,56,,79,
187,Luke Willson,SEA,24,15,10,0,0,0,0,0,0,0,,0,40,22,362,16.45,3,TE,56,,21,
188,Lance Kendricks,STL,26,16,14,0,0,0,0,0,0,0,,0,38,27,259,9.59,5,TE,56,,22,
189,Niles Paul,WAS,25,16,7,0,0,0,0,0,0,0,,0,52,39,507,13.00,1,TE,55,,23,
