
Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
231,Ted Ginn,ARI,29,,16,0,26,14,190,13.6,0,27,0.9,11.9,3
232,Josh Hill,NOR,24,,16,3,20,14,176,12.6,5,37,0.9,11.0,0
233,Brandon Lloyd,SFO,33,,14,3,35,14,294,21.0,1,80,1.0,21.0,0
234,Lance Moore,PIT,31,,14,2,26,14,198,14.1,2,29,1.0,14.1,0
235,Jacob Tamme,DEN,29,,15,0,28,14,109,7.8,2,26,0.9,7.3,1
236,Gary Barnidge,CLE,29,,13,2,25,13,156,12.0,0,28,1.0,12.0,0
237,Brenton Bersin,CAR,24,,15,1,20,13,151,11.6,1,29,0.9,10.1,3
238,Doug Martin,TAM,25,RB,11,11,20,13,64,4.9,0,20,1.2,5.8,0
239,Logan Paulsen,WAS,27,TE,16,12,16,13,78,6.0,1,16,0.8,4.9,1
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
240,Antone Smith,ATL,29,,10,0,15,13,222,17.1,3,74,1.3,22.2,1
241,Daniel Thomas,MIA,27,,12,0,19,13,121,9.3,0,25,1.1,10.1,1
242,Justin Brown,PIT,23,,8,1,21,12,94,7.8,0,18,1.5,11.8,1
243,Vincent Brown,OAK,25,,7,0,21,12,118,9.8,0,20,1.7,16.9,0
244,Cooper Helfet,SEA,25,,10,2,24,12,185,15.4,2,36,1.2,18.5,0
245,Junior Hemingway,KAN,26,,14,1,22,12,108,9.0,0,17,0.9,7.7,0
246,Carlos Hyde,SFO,24,,14,0,16,12,68,5.7,0,16,0.9,4.9,1
247,Dontrelle Inman,SDG,25,,7,0,17,12,158,13.2,0,28,1.7,22.6,0
248,Rishard Matthews,MIA,25,,14,0,22,12,135,11.3,2,23,0.9,9.6,1
249,Denarius Moore,OAK,26,,10,2,27,12,115,9.6,0,28,1.2,11.5,1
250,Austin Pettis,2TM,26,,9,0,,12,118,9.8,1,27,1.3,13.1,0
251,Mike Tolbert,CAR,29,rb,8,6,17,12,93,7.8,0,18,1.5,11.6,0
252,Chris Givens,STL,25,,14,0,20,11,159,14.5,1,47,0.8,11.4,0
253,Frank Gore,SFO,31,RB,16,16,19,11,111,10.1,1,55,0.7,6.9,2
254,Maurice Jones-Drew,OAK,29,,12,1,16,11,71,6.5,0,12,0.9,5.9,1
255,Ricardo Lockette,SEA,28,,16,0,15,11,195,17.7,2,48,0.7,12.2,0
