
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1350,Taylor Thompson,TEN,25,,3,1,,,,,,,,,,,,2,0,
1351,Cedric Thornton,PHI,26,RDE,16,16,0,0,0,0,2,0,0,3,40,1,1.0,36,16,
1352,Hugh Thornton,IND,23,RG,10,8,,,,,,0,0,2,0,0,,1,0,
1353,Neiko Thorpe,OAK,24,,14,0,0,0,0,0,1,,,,,,,7,1,
1354,Walter Thurmond,NYG,27,,2,1,,,,,,,,,,,,2,2,
1355,Charles Tillman,CHI,33,,2,2,0,0,0,0,1,,,,,,,8,0,
1356,Lawrence Timmons*,PIT,28,RILB,16,16,0,0,0,0,1,,,,,,2.0,90,49,
1357,Carson Tinker,JAX,25,,16,0,,,,,,,,,,,,3,2,
1358,Zurlon Tipton,IND,24,,6,0,,,,,,,,,,,,2,0,
1359,Jordan Todman,JAX,24,,16,1,,,,,,,,,,,,4,3,
1360,Levine Toilolo,ATL,23,TE,16,16,,,,,,0,1,1,0,0,,3,0,
1361,Mike Tolbert,CAR,29,rb,8,6,,,,,,,,,,,,1,0,
1362,Greg Toler,IND,29,LCB,15,15,2,47,1,47,14,1,0,0,0,0,1.0,65,10,
1363,Korey Toomer,2TM,26,,8,0,,,,,,,,,,,,1,2,
1364,Nick Toon,NOR,26,,8,2,,,,,,0,1,0,0,0,,3,0,
1365,Justin Trattou,MIN,26,,4,0,,,,,,,,,,,,2,0,
1366,Brynden Trawick,BAL,25,,14,0,,,,,,,,,,,,5,2,
1367,Danny Trevathan,DEN,24,,3,1,,,,,,,,,,,,9,2,
1368,Jordan Tripp,MIA,23,,13,0,,,,,,,,,,,,2,1,
1369,Desmond Trufant,ATL,24,RCB,16,16,3,19,0,19,16,0,0,1,15,0,,53,8,
1370,Jason Trusnik,MIA,30,mlb,16,6,1,0,0,0,2,0,0,2,0,0,,34,16,
1371,Justin Tuck,OAK,31,LDE,15,12,1,7,0,7,3,2,0,0,0,0,5.0,28,15,
1372,Justin Tuggle,HOU,24,RILB,16,8,1,8,0,8,2,0,0,1,0,0,,21,17,
1373,Stephon Tuitt,PIT,21,,16,4,,,,,,1,0,1,0,0,1.0,13,6,
1374,Will Tukuafu,SEA,30,,9,2,,,,,,,,,,,,1,1,
1375,Stephen Tulloch,DET,29,,3,3,,,,,,,,,,,2.0,15,5,
1376,Robert Turbin,SEA,25,,16,3,,,,,,0,1,0,0,0,,2,1,
1377,Trai Turner,CAR,21,RG,13,9,,,,,,,,,,,,1,0,
1378,Brian Tyms,NWE,25,,11,2,,,,,,,,,,,,2,0,
1379,DeAngelo Tyson,BAL,25,,11,4,,,,,,0,0,2,0,0,1.0,7,14,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1380,Osi Umenyiora,ATL,33,,16,0,0,0,0,0,2,0,0,1,86,1,2.5,9,3,
1381,Mitch Unrein,DEN,27,,8,0,,,,,,,,,,,,1,0,
1382,Courtney Upshaw,BAL,25,ROLB,16,14,0,0,0,0,1,,,,,,,28,18,
1383,John Urschel,BAL,23,,11,3,,,,,,,,,,,,1,0,
1384,Kenny Vaccaro,NOR,24,SS,15,14,2,45,0,45,5,,,,,,1.0,52,23,
1385,Kyle Van Noy,DET,23,,8,0,,,,,,,,,,,,6,0,
1386,Cassius Vaughn,DET,27,llb,13,5,2,70,0,45,5,0,0,1,0,0,,18,3,
1387,Fernando Velasco,CAR,29,rg,13,7,,,,,,,,,,,,1,0,
1388,Jared Veldheer,ARI,27,LT,16,16,,,,,,0,0,1,0,0,,,,
1389,Joe Vellano,NWE,26,,5,1,,,,,,,,,,,1.0,4,3,
1390,Raymond Ventrone,SFO,28,,8,0,,,,,,,,,,,,2,1,
1391,Ross Ventrone,PIT,28,,9,0,,,,,,,,,,,,7,2,
1392,Brock Vereen,CHI,22,,16,4,1,0,0,0,1,1,0,0,0,0,,30,9,
1393,Shane Vereen,NWE,25,rb,16,6,,,,,,,,,,,,2,0,
1394,Alterraun Verner,TAM,26,LCB,14,14,2,26,0,26,9,2,0,0,0,0,,57,18,
1395,Olivier Vernon,MIA,24,RDE,16,16,,,,,,2,0,0,0,0,6.5,32,15,
1396,Jason Verrett,SDG,23,,6,4,1,0,0,0,4,,,,,,,18,1,
1397,Michael Vick,NYJ,34,,10,3,,,,,,0,5,2,-5,0,,1,0,
1398,Kevin Vickerson,KAN,31,,15,1,0,0,0,0,1,,,,,,,9,3,
1399,Lawrence Virgil,NOR,24,,1,0,,,,,,,,,,,,2,0,
1400,Bobby Wagner*+,SEA,24,MLB,11,11,0,0,0,0,4,,,,,,2.0,83,52,
1401,Cameron Wake*,MIA,32,LDE,16,16,0,0,0,0,3,3,0,1,0,0,11.5,31,5,
1402,Erik Walden,IND,29,RDE,15,14,0,0,0,0,1,1,0,0,0,0,6.0,29,17,
1403,Casey Walker,3TM,25,,6,1,,,,,,,,,,,1.0,7,4,
1404,Delanie Walker,TEN,30,TE,15,14,,,,,,0,2,3,0,0,,1,0,
1405,Reggie Walker,SDG,28,,11,0,,,,,,,,,,,0.5,7,5,
1406,Tyrunn Walker,NOR,24,,16,1,,,,,,1,0,0,0,0,2.5,14,5,
1407,Vance Walker,KAN,27,,16,2,,,,,,,,,,,2.0,13,4,
1408,Mike Wallace,MIA,28,WR,16,16,,,,,,0,2,0,0,0,,1,0,
1409,Darrin Walls,NYJ,26,RCB,14,12,2,25,0,25,11,,,,,,,40,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1410,Bryan Walters,SEA,27,,13,0,,,,,,,,,,,,0,1,
1411,J.D. Walton,NYG,27,C,16,16,,,,,,0,0,1,0,0,,,,
1412,Jimmie Ward,SFO,23,,8,0,0,0,0,0,2,,,,,,,19,1,
1413,T.J. Ward*,DEN,28,SS,15,15,2,55,0,37,8,,,,,,2.0,62,14,
1414,DeMarcus Ware*,DEN,32,RDE,16,15,1,3,0,3,1,2,0,0,0,0,10.0,37,8,
1415,Larry Warford,DET,23,RG,13,13,,,,,,,,,,,,1,0,
1416,Chance Warmack,TEN,23,RG,16,16,,,,,,,,,,,,1,0,
1417,Greg Warren,PIT,33,,16,0,,,,,,,,,,,,1,2,
1418,Pierre Warren,2TM,22,,6,6,2,53,0,32,4,1,0,1,0,0,,21,9,
1419,Cornelius Washington,CHI,25,,13,0,,,,,,,,,,,1.0,6,3,
1420,Leon Washington,TEN,32,,16,0,,,,,,0,3,1,0,0,,2,0,
1421,Nate Washington,TEN,31,WR,16,11,,,,,,,,,,,,0,1,
1422,Earl Watford,ARI,24,,10,0,,,,,,0,0,1,0,0,,,,
1423,Jaylen Watkins,PHI,22,,4,0,0,0,0,0,1,,,,,,,3,0,
1424,Sammy Watkins,BUF,21,WR,16,16,,,,,,0,1,0,0,0,,3,0,
1425,Ben Watson,NOR,34,TE,16,8,,,,,,,,,,,,2,0,
1426,Dekoda Watson,2TM,26,,10,1,,,,,,,,,,,,10,5,
1427,Menelik Watson,OAK,26,RT,12,9,,,,,,0,0,1,0,0,,0,1,
1428,Chris Watt,SDG,24,c,12,5,,,,,,,,,,,,1,0,
1429,J.J. Watt*+,HOU,25,LDE,16,16,1,80,1,80,10,4,0,5,59,1,20.5,59,19,1
1430,Brandon Watts,MIN,23,,2,0,,,,,,,,,,,,1,0,
1431,Trey Watts,STL,23,,14,0,,,,,,,,,,,,4,1,
1432,Tress Way,WAS,24,,16,0,,,,,,0,1,1,0,0,,2,0,
1433,Reggie Wayne,IND,36,WR,15,15,,,,,,0,1,1,0,0,,3,0,
1434,Steve Weatherford,NYG,32,,16,0,,,,,,,,,,,,2,0,
1435,B.W. Webb,PIT,24,,11,0,,,,,,,,,,,,2,0,
1436,Joe Webb,CAR,28,,7,0,,,,,,,,,,,,2,0,
1437,Lardarius Webb,BAL,29,LCB,13,11,1,0,0,0,8,,,,,,,44,11,
1438,Kayvon Webster,DEN,23,,12,0,0,0,0,0,2,,,,,,,22,1,
1439,Eric Weddle*+,SDG,29,FS,16,16,1,17,0,17,8,2,0,0,0,0,,91,23,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1440,Jon Weeks,HOU,28,,16,0,,,,,,,,,,,,2,0,
1441,Eric Weems,ATL,29,,16,0,,,,,,1,0,2,0,0,,11,2,
1442,Wes Welker,DEN,33,WR,14,8,,,,,,0,0,3,0,0,,1,0,
1443,Scott Wells,STL,33,C,16,16,,,,,,0,4,1,-33,0,,0,1,
1444,Bjoern Werner,IND,24,RLB,15,15,0,0,0,0,2,1,0,1,1,0,4.0,37,13,
1445,Charcandrick West,KAN,23,,6,0,,,,,,,,,,,,1,0,
1446,Terrance West,CLE,23,rb,14,6,,,,,,0,2,0,0,0,,1,0,
1447,Ethan Westbrooks,STL,24,,6,0,,,,,,,,,,,,2,3,
1448,Griff Whalen,IND,24,,10,0,,,,,,0,2,1,0,0,,1,1,
1449,Markus Wheaton,PIT,23,WR,16,11,,,,,,,,,,,,3,0,
1450,Philip Wheeler,MIA,30,,15,4,,,,,,,,,,,,34,11,
1451,Chris White,NWE,25,,13,0,,,,,,,,,,,,7,4,
1452,Corey White,NOR,24,RCB,15,9,2,2,0,2,6,1,0,1,0,0,1.0,50,3,
1453,James White,NWE,23,,3,0,,,,,,0,0,1,0,0,,,,
1454,Melvin White,CAR,24,rcb,15,7,1,23,0,23,6,1,0,0,0,0,,33,4,
1455,Roddy White,ATL,33,WR,14,14,,,,,,0,3,1,0,0,,1,0,
1456,Tahir Whitehead,DET,24,MLB,16,15,2,2,0,2,5,,,,,,,70,21,
1457,Charlie Whitehurst,TEN,32,qb,7,5,,,,,,0,3,2,0,0,,,,
1458,Donte Whitner*,CLE,29,SS,16,16,1,54,0,54,5,1,0,0,0,0,,68,37,
1459,Fozzy Whittaker,CAR,25,,10,1,,,,,,,,,,,,1,0,
1460,Kyle Wilber,DAL,25,,16,3,0,0,0,0,3,0,0,1,0,0,1.5,17,12,
1461,J.J. Wilcox,DAL,23,FS,16,16,3,46,0,46,5,1,1,2,11,0,,69,12,
1462,Vince Wilfork,NWE,33,LDT,16,16,1,1,0,1,2,,,,,,,28,25,
1463,Michael Wilhoite,SFO,28,LILB,16,16,2,1,0,1,6,1,0,0,0,0,,67,20,
1464,Muhammad Wilkerson,NYJ,25,LDE,13,13,0,0,0,0,5,1,0,0,0,0,6.0,31,25,
1465,Aaron Williams,BUF,24,FS,15,14,1,26,0,26,5,0,1,0,0,0,,50,25,
1466,Andre Williams,NYG,22,rb,16,7,,,,,,0,1,0,0,0,,1,0,
1467,Brandon Williams,BAL,25,NT,16,14,,,,,,1,0,1,0,0,0.5,29,25,
1468,Brandon Williams,CAR,27,,14,0,,,,,,,,,,,,3,0,
1469,Cary Williams,PHI,30,RCB,16,16,2,-1,0,0,10,,,,,,,56,4,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1470,D.J. Williams,CHI,32,MLB,12,10,,,,,,,,,,,,30,16,
1471,Damien Williams,MIA,,,15,15,,,,,,1,0,0,0,0,,4,0,
1472,Dan Williams,ARI,27,NT,16,9,0,0,0,0,1,,,,,,1.0,24,14,
1473,Duke Williams,BUF,24,,16,4,1,34,0,34,3,1,0,2,3,0,,39,14,
1474,Ian Williams,SFO,25,NT,9,9,0,0,0,0,1,,,,,,1.0,18,4,
1475,Jacquian Williams,NYG,26,RLB,9,9,0,0,0,0,3,,,,,,,55,23,
1476,Jason Williams,2TM,28,,14,0,,,,,,,,,,,,7,4,
1477,K'Waun Williams,CLE,23,,13,4,0,0,0,0,8,,,,,,1.0,29,9,
1478,Kevin Williams,SEA,34,RDT,16,8,0,0,0,0,2,,,,,,3.0,24,14,
1479,Kyle Williams*,BUF,31,LDT,15,15,1,2,0,2,3,,,,,,5.5,31,11,
1480,Marcus Williams,2TM,23,,8,8,1,1,0,1,7,,,,,,,29,8,
1481,Mario Williams*+,BUF,29,LDE,16,16,0,0,0,0,2,2,0,0,0,0,14.5,36,6,
1482,Shawn Williams,CIN,23,,16,0,,,,,,0,0,1,0,0,,6,5,
1483,Steve Williams,SDG,23,,13,0,0,0,0,0,2,,,,,,,10,0,
1484,Sylvester Williams,DEN,26,LDT,16,13,0,0,0,0,1,,,,,,,18,4,
1485,Teddy Williams,3TM,26,,7,0,,,,,,,,,,,,2,0,
1486,Terrance Williams,DAL,25,WR,16,16,,,,,,,,,,,,3,0,
1487,Tourek Williams,SDG,23,,15,0,0,0,0,0,1,,,,,,,18,3,
1488,Tramon Williams,GNB,31,LCB,16,16,3,2,0,2,14,0,0,1,0,0,,65,12,
1489,Trent Williams*,WAS,26,LT,15,15,,,,,,,,,,,,1,0,
1490,Trevardo Williams,2TM,24,,3,0,,,,,,,,,,,1.0,5,0,
1491,Vince Williams,PIT,25,,16,2,,,,,,0,0,1,0,0,,29,17,
1492,Avery Williamson,TEN,22,RILB,16,12,0,0,0,0,4,0,0,2,43,0,3.0,51,28,
1493,Patrick Willis,SFO,29,rilb,6,6,1,0,0,0,3,,,,,,,29,5,
1494,Luke Willson,SEA,24,TE,15,10,,,,,,0,0,1,0,0,,4,0,
1495,Albert Wilson,KAN,22,,12,2,,,,,,1,0,0,0,0,,3,0,
1496,C.J. Wilson,TAM,25,,2,0,,,,,,,,,,,,4,0,
1497,C.J. Wilson,OAK,27,rde,16,7,,,,,,0,0,1,21,0,2.0,16,7,
1498,George Wilson,TEN,33,SS,16,10,1,0,0,0,4,,,,,,1.0,57,16,
1499,Jimmy Wilson,MIA,28,DB/FS,14,13,1,31,0,31,2,,,,,,,48,11,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1500,Josh Wilson,ATL,29,,16,4,1,15,0,15,7,,,,,,,25,2,
1501,Kyle Wilson,NYJ,27,,16,0,0,0,0,0,1,,,,,,1.0,24,2,
1502,Russell Wilson,SEA,26,QB,16,16,,,,,,0,13,9,-10,0,,1,0,
1503,Tavon Wilson,NWE,24,,16,0,0,0,0,0,2,,,,,,,20,4,
1504,Kamerion Wimbley,TEN,31,ROLB,13,12,0,0,0,0,1,,,,,,2.0,17,15,
1505,Brad Wing,PIT,23,,16,0,,,,,,0,1,1,-15,0,,1,0,
1506,Billy Winn,CLE,25,lde,13,5,1,0,0,0,2,1,0,0,0,0,,17,14,
1507,George Winn,DET,24,,12,0,,,,,,,,,,,,3,0,
1508,Stefen Wisniewski,OAK,25,C,16,16,,,,,,0,1,2,-17,0,,2,0,
1509,Jason Witten*,DAL,32,TE,16,16,,,,,,,,,,,,3,0,
1510,Derek Wolfe,DEN,24,LDE,16,16,0,0,0,0,1,,,,,,1.5,26,12,
1511,Earl Wolff,PHI,25,,7,1,0,0,0,0,1,,,,,,,6,1,
1512,Eric Wood,BUF,28,C,16,16,,,,,,0,1,0,-10,0,,2,0,
1513,Danny Woodhead,SDG,29,,3,0,,,,,,,,,,,,1,0,
1514,LaMarr Woodley,OAK,30,rde,6,5,,,,,,,,,,,,3,2,
1515,Al Woods,TEN,27,,16,1,,,,,,,,,,,1.0,13,13,
1516,Robert Woods,BUF,22,WR,16,15,,,,,,0,1,0,0,0,,2,1,
1517,Charles Woodson,OAK,38,FS,16,16,4,35,0,30,8,0,0,1,0,0,1.0,81,30,
1518,Wesley Woodyard,TEN,28,LOLB,16,16,2,20,0,13,3,,,,,,2.5,53,41,
1519,Corey Wootton,MIN,27,,15,0,0,0,0,0,1,,,,,,1.0,11,5,
1520,Jason Worilds,PIT,26,LOLB,16,16,1,30,0,30,2,1,0,2,0,0,7.5,41,21,
1521,Paul Worrilow,ATL,24,LLB,16,16,0,0,0,0,3,2,0,0,0,0,2.0,84,59,
1522,Blidi Wreh-Wilson,TEN,25,LCB,11,11,1,34,0,34,10,,,,,,,48,9,
1523,James Wright,CIN,23,,11,0,,,,,,1,0,0,0,0,,6,0,
1524,Jarius Wright,MIN,25,wr,16,7,,,,,,,,,,,,1,0,
1525,K.J. Wright,SEA,25,RLB,16,16,0,0,0,0,5,3,0,1,0,0,2.0,89,41,
1526,Kendall Wright,TEN,25,WR,14,11,,,,,,0,1,0,0,0,,2,1,
1527,Major Wright,TAM,26,fs,12,7,0,0,0,0,1,,,,,,,35,16,
1528,Shareece Wright,SDG,27,RCB,14,14,0,0,0,0,10,,,,,,,54,6,
1529,Jarius Wynn,BUF,28,,11,1,0,0,0,0,2,0,0,1,0,0,2.0,10,7,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1530,Kerry Wynn,NYG,23,,5,0,1,7,0,7,1,0,0,1,0,0,1.5,13,4,
1531,Darrel Young,WAS,27,RB,16,10,,,,,,0,0,2,0,0,,4,1,
1532,Usama Young,OAK,29,,6,3,0,0,0,0,2,,,,,,1.0,21,2,
1533,Willie Young,CHI,29,,15,8,0,0,0,0,2,1,0,0,0,0,10.0,29,11,
1534,Christian Yount,CLE,26,,16,0,,,,,,0,1,0,0,0,,1,3,
1535,Frank Zombo,KAN,27,,16,0,,,,,,0,0,2,0,0,,8,0,
1536,Greg Zuerlein,STL,27,,16,0,,,,,,,,,,,,1,0,
1537,Jeremy Zuttah,BAL,28,C,16,16,,,,,,0,0,2,0,0,,1,0,
